4.5,-73.844311,40.721319,-73.84161,40.712278,1
16.9,-74.016048,40.711303,-73.979268,40.782004,1
5.7,-73.982738,40.76127,-73.991242,40.750562,2
7.7,-73.98713,40.733143,-73.991567,40.758092,1
5.3,-73.968095,40.768008,-73.956655,40.783762,1
12.1,-74.000964,40.73163,-73.972892,40.758233,1
7.5,-73.980002,40.751662,-73.973802,40.764842,1
16.5,-73.9513,40.774138,-73.990095,40.751048,1
9,-74.006462,40.726713,-73.993078,40.731628,1
8.9,-73.980658,40.733873,-73.99154,40.758138,2
5.3,-73.996335,40.737142,-73.980721,40.733559,1
5.5,0,0,0,0,3
4.1,-73.991601,40.744712,-73.983081,40.744682,2
7,-74.00536,40.728867,-74.008913,40.710907,1
7.7,-74.001821,40.737547,-73.99806,40.722788,2
5,0,0,0,0,1
12.5,-73.98643,40.760465,-73.98899,40.737075,1
5.3,-73.98106,40.73769,-73.994177,40.728412,1
5.3,-73.969505,40.784843,-73.958732,40.783357,1
4,-73.979815,40.751902,-73.979446,40.755481,1
10.5,-73.985382,40.747858,-73.978377,40.76207,1
11.5,-73.957954,40.779252,-73.96125,40.758787,1
4.5,-73.991707,40.770505,-73.985459,40.763671,1
4.9,-74.000632,40.747473,-73.986672,40.740577,1
6.1,-73.969622,40.756973,-73.981152,40.759712,1
7.3,-73.991875,40.754437,-73.97723,40.774323,3
6.5,0,0,0,0,1
4.5,-73.988893,40.76016,-73.986445,40.757857,3
9.3,-73.989258,40.690835,-74.004133,40.72569,1
4.5,-73.98102,40.73776,-73.980668,40.730497,2
5.5,-73.976075,40.752422,-73.981082,40.759285,1
22.54,-74.01048279,40.71766663,-73.98577118,40.66036606,1
31.9,-73.873027,40.773883,-73.984545,40.769545,3
5.7,-73.976162,40.744988,-73.990002,40.738323,2
18.1,-73.993717,40.740785,-73.999272,40.676617,1
58,-73.98332977,40.73871994,-73.93319702,40.84722519,1
4.5,-73.99017334,40.75644684,-73.98561859,40.76282883,1
5.3,-73.995199,40.75474,-74.005416,40.751084,1
9,-73.95774,40.773617,-73.977087,40.758465,6
9.8,-73.972673,40.759186,-73.969897,40.791367,1
8.1,-73.984267,40.744961,-73.981646,40.759608,1
10.9,-74.003899,40.725514,-73.976484,40.765537,2
17.5,-73.97845,40.76292,-74.008482,40.716502,1
12.1,-73.988558,40.7372,-73.958688,40.780748,1
5.3,-73.997037,40.737095,-73.986128,40.735043,1
6.9,-73.971114,40.758944,-73.97793,40.736613,1
4.5,-73.980822,40.74442,-73.991093,40.748797,1
3.3,-73.988877,40.763577,-73.985573,40.760262,1
3.3,-73.98666,40.756072,-73.989727,40.751702,5
9,-73.992253,40.742657,-73.983597,40.755947,1
